철도운영기관명,선명,역명,철도운영기관코드,선코드,역코드,출입구번호,위치,시작층명,시작운행층수,종료층명,종료운행층수,정원수,정원무게,승강기상태,승강기번호
,경강선,경기광주,KR,K5,K413,,(1F)삼동방향 이동통로(2F)삼동방향 승강장,지상,1,지상,2,17,1150.00,,
,경강선,경기광주,KR,K5,K413,,(1F)초월방향 이동통로(2F)초월방향 승강장,지상,1,지상,2,17,1150.00,,
,경강선,신둔도예촌,KR,K5,K416,1,(2F) 맞이방 연결통로(1F) 1번출입구 옆 ,지상,1,지상,2,17,1150.00,,
,경강선,신둔도예촌,KR,K5,K416,,(2F) 맞이방 개집표구 내부(1F) 곤지암방향 3-1 출입문 앞,지상,1,지상,2,17,1150.00,,
,경강선,신둔도예촌,KR,K5,K416,2,(2F) 맞이방 연결통로(1F) 2번출입구 옆 ,지상,1,지상,2,17,1150.00,,
,경강선,신둔도예촌,KR,K5,K416,,(2F) 맞이방 개집표구 내부(1F) 이천방향 2-4 출입문 앞,지상,1,지상,2,17,1150.00,,
,경강선,이천,KR,K5,K417,1,(1F) 연결통로 > 부발역 방향(하행) 승강장 3-1 출입문 앞,지상,1,지상,2,15,1000.00,,
,3호선,신사,S1,3,327,8,8번 출구 측,지하,1,지상,1,15,1000.00,,
,3호선,신사,S1,3,327,내부,압구정 방면3-1,지하,2,지하,1,15,1000.00,,
,경의중앙,행신,KR,K4,K320,,(1F) 강매역 방향 승강장 4-3 출입문 앞 > (2F) 표 내는 곳,지상,1,지상,2,15,1000.00,,
,경의중앙,행신,KR,K4,K320,"1,2",(1F) 1번/2번 출입구 사이 엘리베이터 (역광장) > (2F) 맞이방,지상,1,지상,2,15,1000.00,,
,경의중앙,능곡,KR,K4,K321,,(1F) 대곡역 방향 승강장 6-2 출입문 앞,지상,1,지상,2,17,1150.00,,
,경의중앙,행신,KR,K4,K320,,(1F) 서울역 방향 KTX 승강장 KTX 1호차 앞 > (2F) KTX 맞이방 ,지상,1,지상,2,20,1500.00,,
,경의중앙,능곡,KR,K4,K321,,(1F) 대곡역 방향 승강장 4-3 출입문 앞,지상,1,지상,2,17,1150.00,,
,경의중앙,능곡,KR,K4,K321,,(1F) 김포공항역 방향 승강장 2-1 출입문 앞,지상,1,지상,2,17,1150.00,,
,경의중앙,능곡,KR,K4,K321,,(1F) 행신역 방향 승강장 3-3 출입문 앞,지상,1,지상,2,17,1150.00,,
,경의중앙,능곡,KR,K4,K321,1,(1F) 1번 출입구 옆,지상,1,지상,4,15,1000.00,,
,경의중앙,풍산,KR,K4,K325,,(B1) 백마역 방향 승강장 4-2 출입문앞,지하,1,지상,1,15,1000.00,,
,경의중앙,풍산,KR,K4,K325,,(B1) 일산역 방향 승강장 5-3 출입문앞,지하,1,지상,1,15,1000.00,,
,1호선,독산,KR,1,P143,,"(1F) 가산디지털단지역 방향 승강장 7-1~7-2 출입문 사이, (2F) 맞이방",지상,1,지상,2,11,750.00,,
,경의중앙,풍산,KR,K4,K325,2,"지상1F, 2번출입구 좌측 광장",지상,1,지상,2,15,1000.00,,
,경의중앙,일산,KR,K4,K326,1,1번출입구 옆,지상,1,지상,3,15,1000.00,,
,경의중앙,일산,KR,K4,K326,,5번6번 승강장 상행 6-1 하행 3-4 방향,지상,1,지상,3,15,1000.00,,
,경의중앙,일산,KR,K4,K326,,3번4번 승강장 상행 6-1 하행 3-4 방향,지상,1,지상,3,15,1000.00,,
,인천2호선,서구청,IC,I2,210,2,(1F) 2번 출입구 근처(B1) 2번 출입구 계단 옆,지하,1,지상,1,17,1150.00,,
